Autor;Year;Duracion;Frecuencia;Suplemento;Dosis;Veces;Total;Momento_Toma;N_Sup;N_Con;N_Tot;Sexo;Edad;Estado_Fisico;Restriccion_Deportiva;Restriccion_Farmacologica;Restriccion_Drogas;LMB_Suplemento;SD_Suplemento;LMB_Control;SD_Control
Outlaw JJ;2016;1;4;1;3.40;1;3.4;1;7;8;15;2;1;1;0;1;0;2.24;5.12;3.10;7.6
Bjørnsen T;2016;2;3;4;0.62;2;1.24;3;17;17;34;1;2;1;0;1;0;1.40;5.68;3.90;2.31
Joy JM;2015;2;3;4;0.15;1;0.15;1;14;11;25;1;1;3;0;0;0;0.59;5.55;0.31;7.53
Taylor LW;2016;1;4;4;24.00;2;48;3;8;6;14;2;1;3;0;0;0;2.86;4.63;7.63;8.08
Escalante G;2016;1;3;4;0.75;5;3.75;3;8;10;18;1;1;3;1;1;0;3.13;10.36;1.31;10.02
Joy JM;2016;2;3;4;0.15;1;0.15;1;10;11;21;3;1;3;0;0;0;1.77;8.64;0.31;7.5
Lin HF;2016;2;1;4;3.00;1;3;0;12;11;23;3;2;1;0;1;1;0.00;7.76;1.45;7.08
Naclerio F_01;2017;1;3;3;20.00;1;20;1;9;9;18;3;1;2;0;1;1;-0.17;1.35;0.10;0.44
Naclerio F_02;2017;1;3;3;20.00;1;20;1;9;9;18;3;1;2;0;1;1;0.41;2.08;0.10;0.44
Sharp MH_01;2018;1;3;3;46.00;1;46;1;10;10;20;3;1;3;0;1;1;4.19;2.97;2.14;5.23
Sharp MH_02;2018;1;3;3;46.00;1;46;1;10;10;20;3;1;3;0;1;1;4.77;4.37;2.14;5.23
Sharp MH_03;2018;1;3;3;46.00;1;46;1;11;10;21;3;1;3;0;1;1;3.06;4.79;2.14;5.23
Naclerio F_01;2017;1;3;3;20.00;1;20;1;8;8;16;1;1;2;0;1;1;2.00;0.56;0.00;0.61
Naclerio F_02;2017;1;3;3;20.00;1;20;1;8;8;16;1;1;2;0;1;1;1.40;0.61;0.00;0.61
Wittke A;2017;2;7;3;30.00;1;30;1;38;38;76;1;2;1;0;1;0;2.04;2.01;0.67;1.65
Mobley CB_02;2017;2;3;3;26.00;1;26;2;17;15;32;1;1;1;0;1;0;5.59;2.10;6.58;1.86
Mobley CB_03;2017;2;3;3;39.00;1;39;2;15;15;30;1;1;1;0;1;0;6.97;2.01;6.58;1.86
Naclerio F_01;2017;1;3;3;20.00;1;20;1;8;8;16;1;2;3;0;1;1;-0.94;7.70;0.00;5.61
Naclerio F_02;2017;1;3;3;20.00;1;20;1;8;8;16;1;2;3;0;1;1;0.61;6.30;0.00;5.61
Nunes JP;2017;1;4;1;2.19;1;2.19;0;22;21;43;1;1;3;0;0;0;4.13;5.67;0.98;6.99
Vangsoe MT;2018;1;4;3;32.00;1;32;2;9;9;18;1;1;2;0;1;0;3.77;8.00;3.29;5.33
Tritto AC_01;2019;2;2;2;1.00;3;3;0;14;15;29;1;1;3;0;1;1;2.65;2.65;1.32;2.06
Tritto AC_02;2019;2;2;2;1.00;3;3;0;15;15;30;1;1;3;0;1;1;1.18;2.06;1.32;2.06
Schwarz NA;2019;1;4;4;26.10;1;26.1;1;8;8;16;1;1;3;0;1;0;6.00;7.55;1.69;11.99
Candow DG;2021;2;3;1;4.50;2;9;3;18;20;38;1;2;1;0;1;0;-1.43;8.43;-3.04;10.5
Brook MS;2021;1;3;2;3.40;1;3.4;0;8;8;16;2;2;2;0;1;0;-1.27;1.78;-1.08;2.64
Desai I;2025;2;3;1;5.00;1;5;0;26;28;54;3;1;1;0;1;0;5.83;2.92;3.70;3.15
Reidy PT_01;2016;2;3;3;22.00;1;22;1;22;18;40;1;1;1;0;1;1;4.61;2.98;3.33;3.13
Reidy PT_02;2016;2;3;3;22.00;1;22;1;18;18;36;1;1;1;0;1;1;3.50;2.93;3.33;3.13
Hulmi JJ;2015;2;3;3;30.00;1;30;1;22;21;43;1;1;1;0;1;1;1.95;0.42;1.44;0.51
Ioannidou P;2024;2;3;3;30.00;1;30;1;15;12;27;1;2;1;0;1;0;3.78;5.78;1.47;11.2
